id,rev,revtype,addedon,updatedon,bankname,brand,countrycode,endbin,scheme,startbin,subbrand,subtype,type,adminid,bin
aafcc31a-59b2-4a4d-9a9e-f19cc683427c,1016,0,2022-03-04T15:59:56.768676,2022-03-04T15:59:56.768,THE HONGKONG AND SHANGHAI BANK,VISA PLATINUM,IN,48626989099999999999,visa,48626989000000000000,,R,credit,203,
bd4d53a5-3386-4839-88d9-d44b67341435,1004,0,2022-03-04T15:59:39.708863,2022-03-04T15:59:39.708,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483433599999999999,visa,40483424800000000000,,R,debit,203,
0ad36355-19bb-4be3-9a04-0dc1f1d3f860,1005,0,2022-03-04T15:59:41.009505,2022-03-04T15:59:41.009,EQUITAS SMALL FINANCE BANK LTD,VISA GOLD,IN,41677239999999999999,visa,41677220000000000000,,R,debit,203,
1eb32c7e-53f3-4f71-95bc-951e0e9db855,1013,0,2022-03-04T15:59:51.332574,2022-03-04T15:59:51.332,THE HONGKONG AND SHANGHAI BANK,VISA PLATINUM,IN,46172188999999999999,visa,46172188900000000000,,R,credit,203,
3395bc0f-2af4-45cc-b407-6f68788c7f73,1007,0,2022-03-04T15:59:42.665323,2022-03-04T15:59:42.665,,VISA PLATINUM,IN,43216801199999999999,visa,43216801100000000000,,R,prepaid,203,
7727b6de-7b1b-4a0b-8355-341c8a4dad41,1016,0,2022-03-04T15:59:56.785451,2022-03-04T15:59:56.785,THE HONGKONG AND SHANGHAI BANK,VISA PLATINUM,IN,48626989999999999999,visa,48626989100000000000,,R,credit,203,
7738d865-35e2-4261-8fa2-b5b154328ebe,1011,0,2022-03-04T15:59:49.358898,2022-03-04T15:59:49.359,THE FEDERAL BANK LTD,VISA BUSINESS ENHANCED,IN,45747465099999999999,visa,45747465000000000000,,R,debit,203,
7972dac8-bb41-45ee-b1c1-57e2cf8a9971,1010,0,2022-03-04T15:59:47.379403,2022-03-04T15:59:47.379,THE HONGKONG AND SHANGHAI BANK,VISA CLASSIC,IN,45634200099999999999,visa,45634200000000000000,,R,credit,203,
799c9e7a-d442-4ea0-89ad-ff97b3e56262,1004,0,2022-03-04T15:59:39.868025,2022-03-04T15:59:39.868,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483470099999999999,visa,40483470000000000000,,R,debit,203,
c0647caf-fc5f-46f3-a857-406087e80013,1003,0,2022-03-04T15:59:39.43211,2022-03-04T15:59:39.432,BANK OF BARODA,ELECTRON,IN,40298509999999999999,visa,40298508000000000000,,R,debit,203,
b1e43d93-19b6-4736-9bde-94fbfc55244f,1855,1,2022-03-04T15:59:43.664357,2022-04-25T07:24:29.15,THE HONGKONG AND SHANGHAI BANK,VISA GOLD,IN,43845989999999999999,visa,43845900000000000000,,R,credit,203,
169a62f7-7e4e-4edc-be4f-90db403db62a,1005,0,2022-03-04T15:59:41.001283,2022-03-04T15:59:41.001,EQUITAS SMALL FINANCE BANK LTD,VISA CLASSIC,IN,41677219999999999999,visa,41677200000000000000,,R,debit,203,
36192baf-f488-4c6b-9043-cf83bc592fa5,1010,0,2022-03-04T15:59:47.234126,2022-03-04T15:59:47.234,,VISA PLATINUM,IN,45562734499999999999,visa,45562727500000000000,,R,credit,203,
4dc4903e-6264-432e-bc5c-9a8d18b8e073,1014,0,2022-03-04T15:59:54.252635,2022-03-04T15:59:54.252,,VISA GOLD,IN,47235739999999999999,visa,47235720000000000000,,R,debit,203,
69d565b1-78d4-40af-9c79-29269ca63143,1011,0,2022-03-04T15:59:49.278871,2022-03-04T15:59:49.279,INDUSIND Bank,CORPORATE T&E,IN,45746799999999999999,visa,45746730000000000000,,R,prepaid,203,
8beff72a-0ec3-464d-82d4-6442db98a3b8,1016,0,2022-03-04T15:59:57.373694,2022-03-04T15:59:57.373,,VISA SIGNATURE,IN,49161860199999999999,visa,49161860100000000000,,R,credit,203,
b5a60ba8-2cf8-4b22-ab00-b0a00769f143,1009,0,2022-03-04T15:59:44.815206,2022-03-04T15:59:44.815,,VISA PLATINUM,IN,44322620399999999999,visa,44322619600000000000,,R,credit,203,
cf49abb6-3b9e-4d0d-9d90-28f5df5d3e26,1010,0,2022-03-04T15:59:47.33728,2022-03-04T15:59:47.337,,VISA SIGNATURE,IN,45569740199999999999,visa,45569739700000000000,,R,credit,203,
d6de2acc-2a32-4bfe-839e-13a500d84bcb,1005,0,2022-03-04T15:59:40.432763,2022-03-04T15:59:40.432,,VISA PLATINUM,IN,40813805699999999999,visa,40813805600000000000,,R,credit,203,
e466043a-3f3d-4c1d-a597-8757914049af,1004,0,2022-03-04T15:59:39.879316,2022-03-04T15:59:39.879,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483480099999999999,visa,40483480000000000000,,R,debit,203,
e7459cee-75e4-4c15-9d8f-7e2bf2d9bdcb,1012,0,2022-03-04T15:59:50.464391,2022-03-04T15:59:50.464,ORIENTAL BANK OF COMMERCE,VISA SIGNATURE,IN,45918194099999999999,visa,45918191000000000000,,R,debit,203,
e7a4df53-863d-494b-b931-ebfcbbee59a7,1013,0,2022-03-04T15:59:51.240681,2022-03-04T15:59:51.24,THE HONGKONG AND SHANGHAI BANK,VISA SIGNATURE,IN,46170900099999999999,visa,46170900000000000000,,R,credit,203,
799c9e7a-d442-4ea0-89ad-ff97b3e56262,1879,1,2022-03-04T15:59:39.868025,2022-04-25T08:13:58.893,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483479999999999999,visa,40483470000000000000,,R,debit,203,
21a08e99-4264-4455-9322-b84a45681f8e,1010,0,2022-03-04T15:59:46.386703,2022-03-04T15:59:46.386,THE FEDERAL BANK LTD,VISA GOLD,IN,45047892099999999999,visa,45047890000000000000,,R,debit,203,
5939bae1-ffb6-4ad6-87fe-5c34761f9e11,1007,0,2022-03-04T15:59:42.51594,2022-03-04T15:59:42.515,BANK OF INDIA,VISA GOLD,IN,43111929999999999999,visa,43111900000000000000,,R,credit,203,
86d02f78-b227-4db7-b11e-d4082e94d776,1009,0,2022-03-04T15:59:44.848649,2022-03-04T15:59:44.848,,VISA PLATINUM,IN,44360983199999999999,visa,44360983100000000000,,R,debit,203,
af943b83-aa1f-47f0-8909-88adfe1b440d,1013,0,2022-03-04T15:59:51.196761,2022-03-04T15:59:51.196,THE FEDERAL BANK LTD,VISA BUSINESS,IN,46113450099999999999,visa,46113450000000000000,,R,debit,203,
b843117a-aff4-440a-8f5d-8f5b40c96c01,1004,0,2022-03-04T15:59:39.839582,2022-03-04T15:59:39.839,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483449099999999999,visa,40483449000000000000,,R,debit,203,
62490957-9901-46af-ab3d-03809eab5888,1858,1,2022-03-04T15:59:39.703333,2022-04-25T08:00:02.444,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483424799999999999,visa,40483400000000000000,,R,debit,203,
0c566902-ecc0-466b-b030-58e2aefebf38,1007,0,2022-03-04T15:59:42.67401,2022-03-04T15:59:42.674,,VISA PLATINUM,IN,43216803499999999999,visa,43216801300000000000,,R,prepaid,203,
